formid;name;werkjahr;jahrgang;titel;art;descr;web;dauer;rechte;lizenz;img1;img2;img3
56;"Jörg  Laue";2016;(1964);"HERAKLION MAP";Kunstvideo;"HERAKLION MAP ist Teil einer künstlerischen Untersuchung zu zeitbasierten und performativen Kartographien. Es verzeichnet annähernd 60 Orte und Wege eines Recherche-Aufenthalts auf Kreta.
Die harten Schnitte zwischen den Orten und Wegen erscheinen dabei aufgrund mehrfacher Bildbe- und Entschleunigungen nahezu kaschiert – zugunsten eines Bildflusses, in dem sich die Leseerfahrung herkömmlicher Karten materialisiert: Denn Karten eröffnen nicht nur unzählige Zugangsmöglichkeiten, sondern sie lassen – quasi bruchlos – auch jegliche Verbindungen zu.
Auf der Tonspur, die aus den klangelektronischen Bearbeitungen einer einzigen 5-minütigen Aufnahme morgendlicher Meeresgeräusche entstanden ist, konkretisiert sich die Vielfalt einer maßgeblichen kartographischen Kontur: des Grenzbereichs zwischen Wasser und Land, der sich streng genommen mit keiner Linie fixieren läßt.";www.lose-combo.de;12:53;hgk;cc-by;cat/056.00008.med.png;cat/056.00015.med.png;cat/056.00022.med.png
57;"Vera  Sebert";2016;(1987);"Monoton roter Gnom";Kunstvideo;"Textfragmente und bewegte Lichtquellen in Gestalt abstrahierter Aquarien, Fenster und Bildschirme erscheinen, überlagern sich und verschwinden im schwarzen gestaltlosen Raum. In einer Sphäre, die weder Luft noch Wasser sein kann, fesselt die Leuchtkomposition den Blick und verführt zu selbstvergessenem hypnotischem Starren. Der befremdende Klang von Fischstimmen, künstliche Farben und gezielt verrauschte Aufnahmen reizen die Sinne und erzeugen ein eigenes Narrativ, das ohne Geschichte auskommt.";http://verasebert.com/;"7:11 min";sichtungsstation;cc-by;cat/057.00008.med.png;cat/057.00015.med.png;cat/057.00022.med.png
58;"Heinz  Schäublin";;(1947);;Installation;"Objekt/Licht/Schatten Installation “und es bewegt sich doch“ : 
eine Objektinst. ca.40x50x50 auf einem Drehmotor, beleuchtet von 3 Spot von untersch. Seiten. Dies ergibt vielschichtige sich überlagernde durch die Rotation sich verändernde, bewegte Licht/Schatten Bilder. Zusätzl. links+rechts 2 Spiegel-flächen, die ihre Reflexionen in gegenl. Rotation ins Licht/Schattenbild bringen. Zur Veranschaulichung kann den Juror/innen eine CD gegeben werde.
Mein Wunsch wäre eine Beteiligung am „Nachtflimmern“ im M54.";visarte-basel;unendlich;hochschulnetz;cc-by;cat/;cat/;cat/
59;"Nico  Schmied";2017;(1985);Follower;Musikclip;"Everybody follows everyone. If there was a leader, it could only be death. He has no interest, he's following no one.

CRIMER ist ein Neo-Wave Musiker aus St. Gallen, welcher im Januar sein erstes Musikvideo ""Brotherlove"" veröffentlichte.
Es folgen ausverkaufte Shows, etliche Auszeichnungen und CRIMER gilt nun als einer der gefragtesten Acts der Schweiz.

Das zweite Musikvideo ""Follower"" ist eine Fortsetzung von ""Brotherlove"", und widerspiegelt das zwiespältige Verhältnis von CRIMER gegenüber seinen Social-Media-Fans. Inhaltlich sehr einfach und visuell bewusst kommerziell umgesetzt.";nicoschmied.com;3:29;hochschulnetz;cc-by;cat/059.00009.med.png;cat/059.00017.med.png;cat/059.00025.med.png
60;"Rebekka  Friedli / Nathalie Kamber";2016;(1989);"Mit dem Blick nach oben";Installation;"Die Videoinstallation „Mit dem Blick nach oben“ ist eine Einladung, die Welt wortwörtlich aus einer neuen Perspektive zu betrachten. Die Kameraeinstellung zeigt durch eine extreme Untersicht den gera- den Blick nach oben. Mit dem Auftauchen aus dem Wasser beginnt gleichzeitig das Eintauchen in eine Welt assoziativer Bildfolgen, welche unterschiedliche Stimmungen und Geschichten erzählen. Begleitet werden die Bildwelten von einer Klangkomposition, die reale Geräusche und musikalische Klänge miteinander verwebt.

Idee und Umsetzung: Rebekka Friedli und Nathalie Kamber 
Musik und Sounddesign: Thomas Kuratli

www.mitdemblicknachoben.ch";"www.rebekkafriedli.com / www.nathaliekamber.com";"23min, Loop";hochschulnetz;cc-by;cat/060.00008.med.png;cat/060.00015.med.png;cat/060.00022.med.png
61;"Till  Langschied";2017;(1987);Kaikan;Animation;"Die Arbeit ""Kaikan"" ist ein in Cinema 4D animierter Videoloop. Das Video zeigt eine menschenleere und sterile Sauna in difusem Licht. Alle Oberflächen reflektieren das spärliche Licht und lassen eine beklemmende Atmosphäre entstehen. Verschiedene Kamerafahrten zeigen Einzelheiten des Raums, der sich in seiner Gänze aber nie dem Betrachter erschließt. Brüche in der Gestaltung (Geschwindigkeiten von Wasser und Dampf, Fehlende Details wie Abläufe oder Wasserhähne) machen dem Betrachter bewusst an einem nicht realen Ort zu sein.";https://www.instagram.com/till.langschied/;3:06;internet;cc-by;cat/061.00008.med.png;cat/061.00015.med.png;cat/061.00022.med.png
64;"Michaela  Tröscher";2015;(1974);"Das O von LOBA";Installation;"Das Video beschreibt die Reise von Island auf die Schwäg Alp (Säntis) über Kanada. Aufnahmen entstanden während der Aufenthalte und Reisen von 2010-2013. Der Schnitt und Installation - Konzeption, Vertonung mit Blasmusik entstand 2015.
Meine bildhauerische Arbeit beschäftigt sich ausschliesslich mit Auswanderung und Emigration / Immigration, anhand der isländischen Romane ( Híbyli Vindanna und Lífsins Tré ) sowie meiner eigenen Familiengeschichte.
Der Bezug zu Basel ist indirekt dieser, dass Basel für mich seit 25 Jahren eine Immigrationsstadt ist, durch die politische Grenze der EU und der Schweiz. In meiner Arbeit habe ich die Schweiz zu Kanada erklärt, da die Einreisebedingungen für Ausländer aus der EU wie die Bedingungen nach Kanada sind. Basel steht für mich seit meinen besuchen als Teenager als das Tor in die NEUE WELT.";michaela-troescher.de;"6:43 min.";sichtungsstation;cc-by;cat/064.00008.med.png;cat/064.00015.med.png;cat/064.00022.med.png
65;"Stefan  Karrer";2016;(1981);"Cool clouds that look like they should be spelling something, but they don't";Kunstvideo;"In Cool clouds [...] greift Stefan Karrer auf eine Sammlung von Naturfotografien und deren Bildunterschriften zurück […]. Er [suchte] 2011 im Internet nach Bildern, die mit den Begriffen ‚Cloud’, ‚Wave’ und ‚Rock’ in Verbindung mit Adjektiven wie ‚cool’, ‚crazy’ oder ‚lonely’ kommentiert wurden. Eine computergenerierte Stimme führt die Zuschauer durch diese Bilder- und Schlagwortsammlung. Schnell kommt einem die Bildersammlung absurd vor – scheinbar subjektive Momente in der Natur werden durch die immer gleichen Beschreibungen und Zuordnungen der Abbildungen im Internet zu uniformen Empfindungen. Das Foto wird nicht mehr gemacht, um eigene Erinnerungen zu bewahren, sondern um die eigenen Eindrücke mit anderen zu teilen und damit bedeutend zu machen. Und doch wird in den Kommentaren deutlich, dass auch das Foto im Internet den realen Moment nicht übertragen kann. Die poetischen Überlegungen zum Abbild am Anfang und am Ende des Videos vermischen sich mit den anonymen Beschreibungen und machen deutlich, dass sich die Natur, auf die sich der Künstler bezieht, bereits durch eine Vielzahl von Perspektiven und Stimmen zusammensetzt.  (Alexandra Adler, HeK, Basel)";http://stefankarrer.net/cc2;08:30;mediathek;cc-by;cat/065.00008.med.png;cat/065.00015.med.png;cat/065.00022.med.png
70;"Selina  Zürrer";2015;(1992);"me love";Kunstvideo;"me love ist ein Reenactment von Strategies of living von der Künstlerin Marit Følstad. folstad.net/346-2/
Im Gegensatz zum Original, in dem die Künstlerin die Knutschflecken von einem Mann bekommt fügt sich Zürrer die Knutschflecken selbst zu und filmt sich mit der Kamera ihres Laptops. Zwischen den beiden Arbeiten liegen 12 Jahre. me love zeigt, wie sich das Verhältnis unserer Gesellschaft zu Liebe und Beziehungen in dieser Zeit entwickelt hat. Es spielt mit der durch das Internet und den sozialen Medien hervorgerufenen Einsamkeit und dem selbstdarstellerischen Narzissmus, der bis zur Selbstzerstörung führen kann.";www.selinazuerrer.ch;"2.49 min";mediathek;cc-by;cat/070.00008.med.png;cat/070.00015.med.png;cat/070.00022.med.png
76;"Gabriela  Löffel";2015;(1972);"Fassung #1";Installation;"An der 100 Jahr Feier der Schweizer Luftwaffe „Air14“ habe ich,in gegenseitigem Einverständnis,ein Interview mit einem Mitarbeiter der Pilatus Flugzeugwerke geführt. Die Firma Pilatus kann man als ein „Symbol“ der Schweizer Politik von Kriegsmaterialexport bezeichnen. Nach dem gefilmten Interview erhielt ich eine SMS vom Pilatus-Interviewpartner: „Grüezi Frau Loeffel. Ich bitte sie, die heute von mir gemachten Aufnahmen vertraulich zu behandeln und zähle auf ihre Diskretion. Beste Grüsse“.
Diese Nachricht gründet die Ausgangslage von „Fassung #1“. Die Weiterverarbeitung des gefilmten Interviews setze ich im Theaterraum, auf der leeren Theaterbühne mit fehlendem Publikum fort. Auf dieser Bühne sitzt ein Schauspieler dem Originalinterview auf Bildschirm gegenüber, und stellt sich dem Versuch, diesen gefilmten Pilatus-Mitarbeiter direkt und genauestens wieder zu verkörpern.";http://loeffelgabriela.com/fassung-1/;24'19'';mediathek;cc-by;cat/076.00008.med.png;cat/076.00015.med.png;cat/076.00022.med.png
77;"Matthias  Willi";2016;(1975);"Tony, You Rock";Dokumentation/Dokumentarfilm;"Als Fotograf und Filmschaffender beschäftige ich mich seit vielen Jahren mit der Basler Musikszene. Dabei führt kein Weg an Punkrock Urgestein Anthony Thomas vorbei.
Die Kompromisslosigkeit gegenüber seiner Musik hat mich schon immer fasziniert und nun dazu bewegt, dies mit einem Film zu würdigen.

„Tony, you rock“ ist ein intimes Portrait über den 64-jährigen amerikanischen Rockmusiker Anthony Thomas, welcher seit bald 30 Jahren mit seiner Band „The Lombego Surfers“ im kleinen VW-Bus durch Europa tourt und urchige Clubs, besetzte Häuser und Festivals bespielt.
Der Film zeigt aber auch eine Lebensweise, welche vielen Leuten fremd ist. 
Dabei erzählt in erster Linie Tony seine Geschichte, es kommen aber auch wichtige Weggefährten zu Wort.
Dieser Film handelt aber auch vom Glück, seine wahre Bestimmung gefunden zu haben. 
Auch ohne ein richtiger Rockstar geworden zu sein.";www.matthiaswilli.ch;40:25;internet;cc-by;cat/077.00008.med.png;cat/077.00015.med.png;cat/077.00022.med.png
84;"Margarit  Lehmann";2016;(1958);"Versuch einer Metamorphose";Animation;"Die Komposition dieser Videoanimation ist aus Fotografien zahlreicher Malereifragmente des 16. und 17. Jahrhunderts zusammengestellt. (source: Rijksmuseum, Amsterdam)
Das Rijksmuseum in Amsterdam entlässt als erstes Museum hoch aufgelöste Bilder kultureller Werke in die Public Domain und stellt sie damit der Öffentlichkeit zur freien Verfügung. Dieses avantgardistische Angebot nahm ich zum Anlass für diese Videoanimation.
Die Arbeit ist ein Versuch, Fragmente von Malereien und Stillleben zu animieren, diese aus der Stille der vergangenen Zeit zu holen und zu frischem Leben zu erwecken und in neuer Form zueinander zu stellen – letztlich in der Absicht, damit die Grenze zur Vergangenheit aufzuheben. 
Das anfänglich statische erscheinende Stillleben erfährt progressive, feine Veränderungen, wenn der Porzellanaffe ein menschliches Gesicht entwickelt, die Eule plötzlich schaut wie ein Mensch und den Trauben Augen wachsen, bis die Verschmelzung über die Artgrenzen hinweg wieder in einer statischen Komposition zum Stillstand kommt.
Die Frage, was auf das anthropozentrische Subjekt folgen könnte, ist die zentrale Frage dieser Arbeit. In einer Abfolge subtiler Veränderungen erlebt das Stillleben eine Evolution, die auf die mögliche Form künftigen Seins hinweist. 
Ein Augenblick, um über diese Frage nachzudenken, während die Töne nachhallen.";"http://margaritlehmann.eu   /   https://www.editionbasel.net/about/";"5 Min. 39. Sek";internet;cc-by;cat/084.00008.med.png;cat/084.00015.med.png;cat/084.00022.med.png
85;"Claudia  Eichenberger";2017;(1958);"MIT LEICHTIGKEIT";Kunstvideo;"An der Wand hängt ein dünner durchsichtiger Plastik. Am Boden liegt eine Kugel, ebenfalls aus Plastik.
Ich trete in den Raum und beginne sorgfältig die Plastikkugel auseinander zu ziehen. Ich verändere die geschlossene Form, der Plastik öffnet sich und fällt sanft und raschelnd zu Boden. Erneut nehme ich einen Teil des Plastiks, ziehe ihn hoch und lasse ihn los. Dadurch bewegt er sich und es entstehen neue sich verändernde Formen. Der Plastik an der Wand schwingt mit.
Immer wieder gebe ich andere Impulse und der Plastik reagiert unmittelbar, fein und leicht im wechselseitigen Spannungsfeld. Mit vermehrtem Körpereinsatz und grösseren Bewegungen entstehen umfangreichere Formen. Der Rhythmus wird schneller und intensiver bis ich ganz vom Material umgeben bin.




Performancedauer : 5 Minuten
Raumangaben       :  Bodenfläche       Breite 4 Meter  Tiefe  3 Meter 
                                 Wand dahinter    Breite 4 Meter  Höhe 3 Meter";www.claudia-eichenberger.ch;"3:18 ";internet;cc-by;cat/085.00008.med.png;cat/085.00015.med.png;cat/085.00022.med.png
89;"Elia  Navarro";2016;(1986);"...the stranger and the white noise";Kunstvideo;"… the stranger and the white noise is a 3-channel video and audio installation. It themes the idea of the stranger, the foreigner – a stranger today who will remain tomorrow, an individual who is part of a society but is still trying to integrate.
 
To create this project I have carried out interviews and collected hundreds of hand gestures from several countries around the world. I find gestural language fascinating: it is an accurate metaphor for a culture’s personality and richness, as well as a demonstration of the speakers’ idiosyncrasy. It is both a very touching part of a language and a very difficult matter for strangers to internalise. In …the stranger and the white noise gestures have sometimes been taken out of context. This was done to keep the gestures’ meanings away from the spotlight and, consequently, highlight movement and corporal expression to build non-intentional units of meaning that can be interpreted in different ways depending on the cultural background of every spectator.

…the stranger and the white noise talks about «gestörte Kommunikation», that are the difficulties found in situations in which one of the individuals is not communicating in their mother tongue and is alien to the dominant culture. The work is about those misunderstandings and subtle nuances that are lost or become corrupted during the transmission. It is about cultural identity and the importance of gender roles in communication. It is about how a small part of personality is lost when communicating in a different language, and how a new one is built at the same time. It is about the search of a new spontaneity. It is about the expansion of cultural, social and emotional horizons. It is about impotence, curiosity; about how both fun and challenging it is to deal with integration day after day.";www.elia-navarro.com;"6'16""";internet;cc-by;cat/089.00008.med.png;cat/089.00015.med.png;cat/089.00022.med.png
90;"Vladimir  Mitrev";2016;(1972);"Once Upon A Time";Kunstvideo;"Das Video beruht auf einer der berühmtesten Szenen der Filmgeschichte aus dem Film „Once Upon A Time In The West“ (Sergio Leone, 1968). Es ist das Schlüsselduell zwischen dem mysteriösen Harmonika und dem Mörder Frank. Beide stehen sich gegenüber und sind bereit, ihre Revolver zu zücken. Die Kulmination bildet die Nahaufnahme der Augen von Harmonika (Charles Bronson), die für einige Sekunden zwischen den schwarzen Balken der Filmleinwand eingeblendet werden. Dieses Verfahren hat zum Ziel, die Dramatik des Geschehens zu steigern und die positiven Züge der Heldenfigur hervorzuheben. Ausgehend von diesem Bild, in dem der Heroismus seinen pathetischen Höhepunkt erreicht, benutze ich meine eigenen Augen und dehne die Szene auf über 10 Minuten hinaus, indem ich direkten Blickkontakt mit dem Betrachter suche. In meiner Aufführung nimmt das Narrativ vom männlichen Heroismus seinen eigenen Gang.";www.vladimirmitrev.com;"10:40 min";mediathek;cc-by;cat/090.00008.med.png;cat/090.00015.med.png;cat/090.00022.med.png
91;"Evelyn  Rüsseler";2017;(1961);"Notre-Dame des Friches - a Ride for Piero";Kunstvideo;"Piero Heliczer, der geniale Poet, Filmemacher, Verleger, Schauspieler, Musiker und Buchhändler starb 1993 bei einem Mofa-Unfall. Aus dieser Perspektive wird eine assoziative Bildreihe, gedreht an den Orten seines Frankreich-Exils, entwickelt. Dazu O-Ton Heliczer, der seine Poems vorträgt.";;15:30;mediathek;cc-by;cat/091.00008.med.png;cat/091.00015.med.png;cat/091.00022.med.png
93;"Rudolf  Steiner";2009;(1964);Korytarz;Kunstvideo;"Das Stopmotion-Video KORYTARZ spielt in einem umlaufenden Korridor des Ujazdowski-Schlosses, dem Zentrum für zeitgenössische Kunst in Warschau, Polen. Zu sehen ist der Künstler, der einen dicken Stapel Papier in seiner Körper- und gleichzeitig Bildmitte hält. Bei jedem Schritt durch den Korridor lässt er ein Blatt fallen, so dass sich bei seiner mehrmaligen Reise durch den Korridor eine Spur von Blättern auf dem Boden bildet. Gleichzeitig formt sich auf den Blättern eine Animation, welche die dramatischen Grenzverläufe des polnischen Staates von 666 bis 1945 zeigt.";www.hausamgern.ch;01.23;hochschulnetz;cc-by;cat/093.00008.med.png;cat/093.00015.med.png;cat/093.00022.med.png
94;"Beate  Spitzmueller";2016;(1963);Amigo;Kunstvideo;"Seit Jahren setze ich mich mit gesellschaftlichen, sozialen und ökologischen Fragen auseinander, die unsere Wahrnehmung und unsere Realitätskonstruktionen betreffen. 
'Amigo' besteht ausschließlich aus realen Einzelbildaufnahmen, die eine auf dem Wasser stattfindende Verhandlungssituation zeigen und dabei eine ungewöhnliche persönliche Begegnung entstehen lassen.";www.beate-spitzmueller.de;"3'27'', Loop";hgk;cc-by;cat/094.00008.med.png;cat/094.00015.med.png;cat/094.00022.med.png
95;"Rudolf  Steiner";2009;(1964);KULM;Kunstvideo;"Das Video KULM in Stopmotion-Technik basiert auf Videoaufnahmen vom Prozess gegen den SS-Obersturmbannführer Adolf Eichmann in Jerusalem von 1961. In ihrer Publikation «Eichmann in Jerusalem» prägte die jüdische Politologin Hannah Arendt den Begriff von der «Banalität des Bösen», der sehr kontrovers diskutiert und oft missverstanden wurde. Das Video KULM zeigt drei Spielzeuglastwagen in voller Fahrt durch eine stilisierte Landschaft. Auf der Rückseite der Lastwagen sind kurze Videosequenzen aus «Der Spezialist» montiert, den Egal Sivan und Sony Braumann aus den 350 Stunden Archivmaterial zusammengeschnitten haben. Die Sequenz zeigt einen irritierenden Moment im Prozess, wo Richter, Staatsanwälte und Eichmann über die Ortschaft KULMHOF, polnisch CHEŁMNO, diskutieren (wo sich ein Vernichtungslager befand), aber diesen Ort mit anderen Orten wie CULM oder CHOLM oder KULM verwechseln.";www.hausamgern.ch;03.35;hochschulnetz;cc-by;cat/095.00008.med.png;cat/095.00015.med.png;cat/095.00022.med.png
96;"Barbara  Meyer Cesta / Rudolf Steiner";2014;"(1959 / 1964)";M13;Kunstvideo;"M13 hiess der Bär, der 2013 im Puschlav erschossen wurde. M13 war ein sogenannter Risiko- oder Problembär. Haus am Gern zeigt den Bär M13 in Begleitung einer teilnahmslosen Artischokke auf seinen Wanderungen durch Graubünden, auf der er viele Tode stirbt. Das Video gibt es in einer vertonten Version, es kann aber auch während der Aufführung live vertont werden.";www.hausamgern.ch;41.39;hochschulnetz;cc-by;cat/096.00008.med.png;cat/096.00015.med.png;cat/096.00022.med.png
97;"Ariane  Andereggen";2015;(1969);"The Depression-Gala";Kunstvideo;"In ""The Depression-Gala"" versammeln sich grössere und kleinere Videoarbeiten um ein schwarzes Loch und flimmern an der Kante herum. Immer kurz vor dem Einbrechen. Das hilft.";www.videostar.ch;34:58;hochschulnetz;cc-by;cat/097.00008.med.png;cat/097.00015.med.png;cat/097.00022.med.png
98;"Ariane  Andereggen";2015;(1969);EUROPA;Musikclip;"""Europa"" ist ein Song der hamburger Band ""Die goldenen Zitronen"". Ich und Ted Gaier von den ""Goldies"" haben das Video dazu gemacht. Es klingt irgendwie nach Kraftwerk...quer durch Europa. Basel kommt auch drin vor!";www.videostar.ch;4:41;hochschulnetz;cc-by;cat/098.00008.med.png;cat/098.00015.med.png;cat/098.00022.med.png
100;"Ariane  Andereggen";2015;(1969);"ROHSTOFF - Eine Verarbeitung";Dokumentation/Dokumentarfilm;"ROHSTOFF-Eine Verarbeitung ist eine videoförmig interessante, dokumentarische Zusammenfassung einer Performance zum Thema Bergbau / Rohstoffhandel in der Schweiz und Steuerflucht.";www.videostar.ch;44:19;hochschulnetz;cc-by;cat/100.00008.med.png;cat/100.00015.med.png;cat/100.00022.med.png
101;"Renata  Bünter";2015;(1962);Freitag;Kunstvideo;"Das Thema der Erinnerung beschäftigt mich schon seit längerer Zeit und ich habe mich mittels verschieden Medien in meiner künstlerischen Arbeit immer wieder damit auseinandergesetzt: Erinnerung als ein Zeit-Bild, ein Dokument aus vergangenen Tagen, nicht mehrt so real und scharf gezeichnet, etwas verschwommen.

FREITAG ist das fünfte Erinnerungsbild im Rahmen des Projekts „sieben Tage“.

Die Arbeit besteht aus zwei Filmen: Der Erste ist im Innenraum inszeniert, hier habe ich die Kulisse           
( Schlafsaal...) von Rita Siegfried illusionistisch nachmalen lassen (Trompe-l’œil ). 
Der Zweite ist im Aussenraum gefilmt.

Diese Tableaux wurden bewusst nicht am Computer konstruiert, sondern sie entstanden beim Drehen vor den Kulissen und Hintergrundbildern. Die Filme sind also eine Art Bricolage.";www.renatabuenter.ch;"03:15 geloopt";hochschulnetz;cc-by;cat/101.00008.med.png;cat/101.00015.med.png;cat/101.00022.med.png
102;"Niel  Thaler";2015;(1956);"big data";Kunstvideo;"​Our data has enormous value when we put it all together.";www.niel-thaler.com;"3min 30sec";internet;cc-by;cat/102.00008.med.png;cat/102.00015.med.png;cat/102.00022.med.png
105;"Niel  Thaler";2016;(1956);"wahrscheinlich guckt wieder kein schwein ...";Kunstvideo;"wahrscheinlich guckt wieder kein schwein ...- wahrscheinlich glückt wieder ein schein";www.niel-thaler.com;46sec;internet;cc-by;cat/105.00010.med.png;cat/105.00019.med.png;cat/105.00028.med.png
107;"Mireille  Gros";2017;(1954);MOONGATE;Kunstvideo;"MOONGATE
Bild: ein Tor in eine andere Welt? Ein Bild eines Waldes, real oder fiktiv?… die Welt steht ""Kopf""
Ton: Naturgeräusche oder Starkstromleitungen? Technik ? Natur?

DIE DINGE IN DER SCHWEBE LASSEN, DAMIT DAS DENKEN NICHT DIE FORM DES URTEILENS BEKOMMT.

Meine Arbeiten entstehen spontan:
Hier war es ein Moongate in Beijing das mit einer Bauplache aus PCV behängt wurde. So werden jeweils Baustellen bekleidet. In diesem Fall wurde die Plache verkehrt herum installiert. Das Zirpen ist der Originalton und stammt von den Zikaden.";www.mireillegros.ch;1:44;hochschulnetz;cc-by;cat/107.00008.med.png;cat/107.00015.med.png;cat/107.00022.med.png
108;"Marte  Kiessling";2017;(1981);"Quer durch China";Essayfilm;"Als Fortführung von „Decisions erzählt das Video in Auszügen die Reise meiner Urgroßmutter druch China in den Jahren
1902-1904. Der Betrachter kann der Reise folgen, indem er Fragmenten ihrer Aufzeichnungen über den zweijährigen Trip
zuhört, die Texte entstammen zwei Büchern, einem, welches sie selber, und einem, welches ihr erster Ehemann, der bekannte
Asienforscher Wilhelm Filchner, über ihre Zeit in China und Tibet geschrieben hat. Die Geschichte selbster hinterlässt beim
Betrachter gemischte Gefühle - einerseits war meine Urgroßmutter eine emanzipierte Frau, eine der ersten überhaupt, die sich
auf eine derart beschwerliche Expedition durch Asien begeben hat. Andererseits wird man mit der harten Realität des überheblichen
Gedankengutes der Europäer zu Kolonialistischen Zeiten konfrontiert, dem täglichen Rassismus welchen man aus ihren
Mündern vernehmen kann und dem damals gültigen, herablassenden Bild auf Frauen auf der ganzen Welt.";www.martekiessling.de;16:45;sichtungsstation;cc-by;cat/108.00008.med.png;cat/108.00015.med.png;cat/108.00022.med.png
110;"Pascale  Grau";2017;(1960);KAZOO;Kunstvideo;"KAZOO 2017 
© Pascale Grau & Claudia Grimm
In unserem Video KAZOO spielen wir mit dem Flimmern, das entsteht, wenn improvisiertes Bild-, Ton- und Textmaterial aufgetürmt wird, ohne ihm Bedeutung zu unterlegen. Die Produktionsweise ist performativ und darauf angelegt, immer neue Koinzidenzen zwischen den Medien entstehen zu lassen: 
Aus einer grossen Menge von analogem Bildmaterial wird eine Ad-hoc-Bildstrecke produziert, begleitet von live erzeugten Geräuschen. Ohne den Basisfilm zu sehen, improvisieren wir Text und überlagern zwei Tonspuren. In Loops kollidiert das gesamte akustische Material mit sich selbst und mit der vorproduzierten Bildstrecke.
Durch die mehrschichtige mediale Übersetzung (Bild – Film – Wort) wird eine inhaltliche und sensorische Verschiebung erzeugt, die an Praktiken des Erinnerns anknüpft, bei denen der Körper zum Speicher des eigenen wie auch des kulturellen Gedächtnisses wird.";www.pascalegrau@ch;"8:40 als single channel oder als LOOP";hochschulnetz;cc-by;cat/110.00008.med.png;cat/110.00015.med.png;cat/110.00022.med.png
111;"Niel  Thaler";2014;(1956);"social media";Kunstvideo;"Der Trend in Richtung einer automatischen Biografie: Physische Daten werden am Bewusstsein vorbei erhoben und direkt ins Netz gespeist. Wir paraphrasieren, filtern und reflektieren das Erlebte nicht mehr, sondern lassen das Ereignis (das YouTube-Video, den Spotify-Song, die gerade laufen) in Echtzeit sich selbst berichten: ""Es postet, also bin ich."" (Roberto Simanowski)";www.niel-thaler.com;"4min 10sec";internet;cc-by;cat/111.00008.med.png;cat/111.00015.med.png;cat/111.00022.med.png
112;"Daniel  von Rüdiger";2017;(1983);1Hz;Medienexperiment;"In der Audiovisuelle Live Performance 1Hz vergleicht Daniel von Rüdiger im Zuge seiner künstlerischen Forschung visuellen und akustischen Rhythmus. Das selbst erstellte dokumentarische Bild wird als visuelles Instrument verstanden. Schnitte und Effekte werden mit der Musik zusammen live gespielt. Die Tonspur bereichert die technisch synchrone Musik - es kollidieren zwei Lebenswelten ‚einfach und schwer vs complex und leicht’. Im Zuge einer sozialdokumentarischen Expedition von Daniel von Rüdiger durch Papua Neuguinea entstanden die verwendeten Film- und Tonaufnahmen. Diese wurden von dem Museum der Kulturen, Basel mitproduziert und ausgestellt. Die Verwendung des ethnologischen Materials in dem Kontext einer audiovisuellen live Performance provoziert Fragen zur zeitlichen Normierung ‚des Westens’ und zur „Critical Whiteness“ Debate.
Die Performance 1Hz von 0101 ist in zwei Sätze aufgeteilt und hat eine Spieldauer von etwa 40min. 
KANU dokumentiert den Bau und Transport eines Einbaumkanus und SAGO den Abbau und die Weiterverarbeitung des Grundnahrungsmittels Sago. Das Video zeigt einen stark gekürzten Zusammenschnitt der Performance.";www.0101.wtf;8:57;internet;cc-by;cat/112.00008.med.png;cat/112.00015.med.png;cat/112.00022.med.png
113;"Daniel  von Rüdiger";2016;(1983);"Kanu belong Keram";Dokumentation/Dokumentarfilm;"Kanu belong Keram dokumentiert den Bau und Transport eines Kanus in dem entlegenen Dorf Kambot, in der Region des Sepik Flusses von Papua Neuguinea. Der Bau eines Kanus kann als Beispiel für die Bedeutung und Stärke von gemeinschaftlicher Arbeit gesehen werden. Nur das Zusammenspiel kann die Stärke von Einzelnen vereinen und für den Bau etwas 'Grossen' verwendet werden. 
Die Musik von 0101 nimmt die repetitiven Geräusche der Arbeit auf und ist der Bewegungsgeschwindigkeit der Filmaufnahmen angepasst.
Der Film wurde vom Museum der Kulturen Basel co-produziert. Er wird dort in der 2016 eröffneten Dauerausstellung 'Gross - Dinge, Deutungen, Dimensionen' gezeigt. Beispielhaft steht er dort für 'Gemeinsam Grosses schaffen - Grosses verlangt nach der Synchronisierung mehrerer Personen oder Gruppen von Personen, nach unterschiedlichen Kompetenzen und nach einer Bündelung von Wissen'.";www.danielvonruediger.com;16:35;internet;cc-by-nc;cat/113.00008.med.png;cat/113.00015.med.png;cat/113.00022.med.png
114;"Patrick  Steffen";2015-17;(1969);"da will ich nach dir blicken";Kunstvideo;"Wie manifestiert sich Religion heute im öffentlichen Raum? Der Titel, eine Textzeile aus dem Choral ""O Haupt voll Blut und Wunden"", steht als etwas pathetischer Kontrapunkt zu den nüchtern fotografierten Szenerien. 

""Faith is one of the things we try to use to control time. We immortalize people and notions, convert them into symbols of faith and then claim to own them. (...) Patrick Steffen's video is a beautiful and uttelry powerful take on our fear of time and the insensitivity towards life."" (Parvez Imam)";www.patricksteffen.ch;14:00;hochschulnetz;cc-by;cat/114.00008.med.png;cat/114.00015.med.png;cat/114.00022.med.png
